FACTOR_TYPE,FACTOR,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,CODE_NAME,scorer
RESILIENCE,drought,3.8,0.15275252316519466,1,5,PASTURE_ALFALFA,Peterson
RESILIENCE,flood,6.875,0.18298126367784995,5,10,PASTURE_ALFALFA,Peterson
RESILIENCE,heat,7.857142857142857,0.20203050891044214,5,10,PASTURE_ALFALFA,Peterson
RESILIENCE,drought,8.1,0.22110831935702663,1,10,GRAIN&HAY_OTHER,Peterson
RESILIENCE,flood,4.125,0.25,1,10,GRAIN&HAY_OTHER,Peterson
RESILIENCE,heat,8.25,0.2630521404045756,1,10,GRAIN&HAY_OTHER,Peterson
RESILIENCE,drought,2.625,0.2630521404045756,1,10,ORCHARD_CITRUS&SUBTROPICAL,Peterson
RESILIENCE,flood,3,0.1889822365046136,1,5,ORCHARD_CITRUS&SUBTROPICAL,Peterson
RESILIENCE,heat,2.142857142857143,0.18442777839082938,1,5,ORCHARD_CITRUS&SUBTROPICAL,Peterson
RESILIENCE,drought,5.7,0.2333333333333333,1,10,FIELD_CORN,Peterson
RESILIENCE,flood,4.75,0.29504842217604116,1,10,FIELD_CORN,Peterson
RESILIENCE,heat,7.285714285714286,0.2973808570665904,1,10,FIELD_CORN,Peterson
RESILIENCE,drought,7.583333333333333,0.19462473604038075,1,10,GRASSLAND,Peterson
RESILIENCE,flood,9.090909090909092,0.12196734422726126,5,10,GRASSLAND,Peterson
RESILIENCE,heat,9.1,0.19999999999999998,1,10,GRASSLAND,Peterson
RESILIENCE,drought,1.9,0.19999999999999998,1,10,ORCHARD_DECIDUOUS,Peterson
RESILIENCE,flood,5.111111111111111,0.16666666666666666,1,10,ORCHARD_DECIDUOUS,Peterson
RESILIENCE,heat,3.125,0.26726124191242434,1,10,ORCHARD_DECIDUOUS,Peterson
RESILIENCE,drought,6,0.20719385350268704,1,10,PASTURE_OTHER,Peterson
RESILIENCE,flood,7.1,0.22110831935702663,1,10,PASTURE_OTHER,Peterson
RESILIENCE,heat,8.6,0.21343747458109494,1,10,PASTURE_OTHER,Peterson
RESILIENCE,drought,2.2,0.15275252316519466,1,5,RICE,Peterson
RESILIENCE,flood,10,0,10,10,RICE,Peterson
RESILIENCE,heat,6.375,0.25,1,10,RICE,Peterson
RESILIENCE,drought,5.083333333333333,0.12309149097933274,1,10,RIPARIAN,Peterson
RESILIENCE,flood,9.090909090909092,0.12196734422726126,5,10,RIPARIAN,Peterson
RESILIENCE,heat,8.1,0.22110831935702663,1,10,RIPARIAN,Peterson
RESILIENCE,drought,4.888888888888889,0.30932024237944566,1,10,ROW,Peterson
RESILIENCE,flood,3.7777777777777777,0.23570226039551587,1,10,ROW,Peterson
RESILIENCE,heat,4.625,0.2265817417937414,1,10,ROW,Peterson
RESILIENCE,drought,4.888888888888889,0.30932024237944566,1,10,VINEYARD,Peterson
RESILIENCE,flood,5.875,0.29504842217604116,1,10,VINEYARD,Peterson
RESILIENCE,heat,4.142857142857143,0.3595159254890833,1,10,VINEYARD,Peterson
RESILIENCE,drought,2.3333333333333335,0.1421338109037403,1,5,WETLAND_MANAGED,Peterson
RESILIENCE,flood,10,0,10,10,WETLAND_MANAGED,Peterson
RESILIENCE,heat,7.6,0.22360679774997896,1,10,WETLAND_MANAGED,Peterson
RESILIENCE,salinity,3,NA,NA,NA,ROW,DeltaAdapts
RESILIENCE,salinity,3,NA,NA,NA,FIELD_CORN,DeltaAdapts
RESILIENCE,salinity,3,NA,NA,NA,PASTURE_ALFALFA,DeltaAdapts
RESILIENCE,salinity,1,NA,NA,NA,VINEYARD,DeltaAdapts
RESILIENCE,salinity,1,NA,NA,NA,ORCHARD_DECIDUOUS,DeltaAdapts
RESILIENCE,salinity,8,NA,NA,NA,GRAIN&HAY,DeltaAdapts
RESILIENCE,salinity,8,NA,NA,NA,RICE,DeltaAdapts
RESILIENCE,salinity,8,NA,NA,NA,FIELD_OTHER,DeltaAdapts
RESILIENCE,salinity,8,NA,NA,NA,ORCHARD_CITRUS&SUBTROPICAL,DeltaAdapts
RESILIENCE,salinity,3,NA,NA,NA,PASTURE_OTHER,medellin
RESILIENCE,salinity,3,NA,NA,NA,GRASSLAND,medellin
RESILIENCE,salinity,9,NA,NA,NA,WETLAND_MANAGED,CVSALTS
RESILIENCE,drought,5.6,1.32664991614216,2,10,RIPARIAN_FOREST_MIXED,ripmod
RESILIENCE,flood,4.4,0.7483314773547882,2,6,RIPARIAN_FOREST_MIXED,ripmod
RESILIENCE,salinity,2.8,0.7999999999999999,2,6,RIPARIAN_FOREST_MIXED,ripmod
RESILIENCE,drought,6,NA,6,6,RIPARIAN_FOREST_POFR,ripmod
RESILIENCE,flood,6,NA,6,6,RIPARIAN_FOREST_POFR,ripmod
RESILIENCE,salinity,4,NA,4,4,RIPARIAN_FOREST_POFR,ripmod
RESILIENCE,drought,6,NA,6,6,RIPARIAN_FOREST_QULO,ripmod
RESILIENCE,flood,2,NA,2,2,RIPARIAN_FOREST_QULO,ripmod
RESILIENCE,salinity,2,NA,2,2,RIPARIAN_FOREST_QULO,ripmod
RESILIENCE,drought,4,2,2,6,RIPARIAN_FOREST_SALIX,ripmod
RESILIENCE,flood,10,0,10,10,RIPARIAN_FOREST_SALIX,ripmod
RESILIENCE,salinity,5,2.9999999999999996,2,8,RIPARIAN_FOREST_SALIX,ripmod
RESILIENCE,drought,8,1.7320508075688772,4,10,RIPARIAN_SCRUB_INTRO,ripmod
RESILIENCE,flood,8.666666666666666,1.1547005383792517,6,10,RIPARIAN_SCRUB_INTRO,ripmod
RESILIENCE,salinity,7.333333333333333,2.309401076758503,2,10,RIPARIAN_SCRUB_INTRO,ripmod
RESILIENCE,drought,6,0,6,6,RIPARIAN_SCRUB_MIXED,ripmod
RESILIENCE,flood,7,2.449489742783178,4,10,RIPARIAN_SCRUB_MIXED,ripmod
RESILIENCE,salinity,4,NA,4,4,RIPARIAN_SCRUB_MIXED,ripmod
RESILIENCE,drought,4,1.1547005383792517,2,6,RIPARIAN_SCRUB_SALIX,ripmod
RESILIENCE,flood,8.666666666666666,1.3333333333333333,6,10,RIPARIAN_SCRUB_SALIX,ripmod
RESILIENCE,salinity,2.6666666666666665,0.6666666666666666,2,4,RIPARIAN_SCRUB_SALIX,ripmod
