class,zone,area_unit,value_baseline,value_scenario,net_change,LABEL
PASTURE,Yolo,ha,3840.0301525890827,3069.3601219654083,-770.6700306236744,Pasture
PASTURE,Sacramento,ha,4359.420173227787,3747.420148909092,-612.0000243186951,Pasture
GRASSLAND,San Joaquin,ha,5516.550219208002,5026.410199731588,-490.1400194764137,Grassland
GRASSLAND,Yolo,ha,3555.900141298771,3127.770124286413,-428.1300170123577,Grassland
IDLE,Yolo,ha,3066.300121843815,2658.780105650425,-407.5200161933899,Idle
IDLE,San Joaquin,ha,14213.970564812422,13847.310550242662,-366.66001456975937,Idle
FIELD,Yolo,ha,1586.7900630533695,1278.9000508189201,-307.8900122344494,Field Crops
RICE,Yolo,ha,1090.7100433409214,785.8800312280655,-304.8300121128559,Rice
WETLAND_OTHER,Yolo,ha,2341.710093051195,2059.6500818431377,-282.0600112080574,Other Wetland
IDLE,Sacramento,ha,4144.050164669752,3870.450153797865,-273.6000108718872,Idle
FIELD_CORN,Sacramento,ha,6886.800273656845,6646.500264108181,-240.3000095486641,Corn
FIELD_CORN,San Joaquin,ha,20821.770827382803,20597.67081847787,-224.10000890493393,Corn
WETLAND_OTHER,Sacramento,ha,1423.0800565481186,1210.410048097372,-212.67000845074654,Other Wetland
GRASSLAND,Sacramento,ha,2056.9500817358494,1866.7800741791725,-190.17000755667686,Grassland
GRAIN&HAY_WHEAT,Yolo,ha,1759.2300699055195,1579.230062752962,-180.00000715255737,Grain
PASTURE_ALFALFA,San Joaquin,ha,11286.1804484725,11116.89044174552,-169.2900067269802,Alfalfa
ROW,San Joaquin,ha,12461.31049516797,12292.560488462448,-168.75000670552254,Row Crops
RICE,Sacramento,ha,377.8200150132179,213.93000850081444,-163.8900065124035,Rice
ROW,Yolo,ha,1440.630057245493,1276.8300507366657,-163.8000065088272,Row Crops
GRAIN&HAY,Yolo,ha,1746.0900693833828,1601.2800636291504,-144.8100057542324,Grain
VINEYARD,Yolo,ha,4862.250193208456,4719.870187550783,-142.38000565767288,Vineyard
PASTURE_ALFALFA,Yolo,ha,995.4900395572186,857.8800340890884,-137.6100054681301,Alfalfa
ORCHARD_DECIDUOUS,San Joaquin,ha,10368.540412008762,10231.200406551361,-137.34000545740128,Orchard - Deciduous Fruits & Nuts
GRAIN&HAY_WHEAT,San Joaquin,ha,6184.710245758295,6064.290240973234,-120.42000478506088,Grain
FIELD,San Joaquin,ha,2676.600106358528,2565.6301019489765,-110.97000440955162,Field Crops
PASTURE,San Joaquin,ha,3944.8801567554474,3840.120152592659,-104.76000416278839,Pasture
GRASSLAND,Solano,ha,5168.430205374956,5069.250201433897,-99.18000394105911,Grassland
GRAIN&HAY_WHEAT,Sacramento,ha,1326.4200527071953,1241.5500493347645,-84.8700033724308,Grain
PASTURE_ALFALFA,Sacramento,ha,2372.5800942778587,2300.2200914025307,-72.36000287532806,Alfalfa
GRAIN&HAY,Sacramento,ha,1197.5400475859642,1135.0800451040268,-62.46000248193741,Grain
ORCHARD_DECIDUOUS,Sacramento,ha,2755.620109498501,2694.060107052326,-61.56000244617462,Orchard - Deciduous Fruits & Nuts
VINEYARD,San Joaquin,ha,5103.810202807188,5043.0602003932,-60.75000241398811,Vineyard
PASTURE,Solano,ha,7880.040313124657,7821.18031078577,-58.86000233888626,Pasture
FIELD_CORN,Yolo,ha,470.61001870036125,414.00001645088196,-56.610002249479294,Corn
PASTURE_ALFALFA,Solano,ha,3235.1401285529137,3197.6101270616055,-37.53000149130821,Alfalfa
FIELD,Sacramento,ha,1415.160056233406,1384.0200549960136,-31.140001237392426,Field Crops
WETLAND_OTHER,San Joaquin,ha,2920.1401160359383,2889.990114837885,-30.15000119805336,Other Wetland
WETLAND_OTHER,Solano,ha,1694.16006731987,1670.7600663900375,-23.40000092983246,Other Wetland
GRAIN&HAY,San Joaquin,ha,2597.400103211403,2574.900102317333,-22.50000089406967,Grain
PASTURE,Contra Costa & Alameda,ha,4013.7301594913006,3991.320158600807,-22.410000890493393,Pasture
IDLE,Solano,ha,2252.9700895249844,2230.920088648796,-22.050000876188278,Idle
WOODLAND&SCRUB,Sacramento,ha,172.98000687360764,151.47000601887703,-21.510000854730606,Woodland & Scrub
ROW,Sacramento,ha,780.0300309956074,759.5100301802158,-20.52000081539154,Row Crops
WOODLAND&SCRUB,San Joaquin,ha,345.69001373648643,329.7600131034851,-15.930000633001328,Woodland & Scrub
FIELD_CORN,Solano,ha,2421.360096216202,2405.970095604658,-15.390000611543655,Corn
BARREN,San Joaquin,ha,161.7300064265728,149.0400059223175,-12.690000504255295,Barren
ROW,Solano,ha,587.5200233459473,578.2500229775906,-9.270000368356705,Row Crops
WETLAND_OTHER,Contra Costa & Alameda,ha,2119.0500842034817,2111.4900839030743,-7.56000030040741,Other Wetland
FIELD,Solano,ha,1804.7700717151165,1800.5400715470314,-4.230000168085098,Field Crops
VINEYARD,Sacramento,ha,4879.890193909407,4875.750193744898,-4.14000016450882,Vineyard
GRAIN&HAY,Solano,ha,1633.9500649273396,1629.900064766407,-4.050000160932541,Grain
WOODLAND&SCRUB,Yolo,ha,58.500002324581146,54.540002167224884,-3.960000157356262,Woodland & Scrub
GRAIN&HAY_WHEAT,Solano,ha,1296.9900515377522,1293.8400514125824,-3.150000125169754,Grain
WOODLAND&SCRUB,Solano,ha,76.68000304698944,73.71000292897224,-2.9700001180171967,Woodland & Scrub
GRASSLAND,Contra Costa & Alameda,ha,4193.9101666510105,4192.110166579485,-1.8000000715255737,Grassland
URBAN,Sacramento,ha,3327.7501322329044,3325.950132161379,-1.8000000715255737,Urban
IDLE,Contra Costa & Alameda,ha,2932.020116508007,2930.760116457939,-1.2600000500679016,Idle
URBAN,Contra Costa & Alameda,ha,12869.190511375666,12868.11051133275,-1.0800000429153442,Urban
BARREN,Sacramento,ha,3.960000157356262,3.3300001323223114,-0.6300000250339508,Barren
URBAN,San Joaquin,ha,16702.110663682222,16701.750663667917,-0.36000001430511475,Urban
WOODLAND&SCRUB,Contra Costa & Alameda,ha,349.2000138759613,349.110013872385,-0.09000000357627869,Woodland & Scrub
ORCHARD_DECIDUOUS,Yolo,ha,378.7200150489807,378.63001504540443,-0.09000000357627869,Orchard - Deciduous Fruits & Nuts
ORCHARD_DECIDUOUS,Contra Costa & Alameda,ha,1211.2200481295586,1211.2200481295586,0,Orchard - Deciduous Fruits & Nuts
ORCHARD_CITRUS&SUBTROPICAL,Contra Costa & Alameda,ha,5.850000232458115,5.850000232458115,0,Orchard - Citrus & Subtropical
VINEYARD,Contra Costa & Alameda,ha,752.4000298976898,752.4000298976898,0,Vineyard
GRAIN&HAY,Contra Costa & Alameda,ha,665.4600264430046,665.4600264430046,0,Grain
GRAIN&HAY_WHEAT,Contra Costa & Alameda,ha,1102.230043798685,1102.230043798685,0,Grain
FIELD,Contra Costa & Alameda,ha,522.3600207567215,522.3600207567215,0,Field Crops
FIELD_CORN,Contra Costa & Alameda,ha,4278.870170027018,4278.870170027018,0,Corn
ROW,Contra Costa & Alameda,ha,1829.790072709322,1829.790072709322,0,Row Crops
RICE,Contra Costa & Alameda,ha,0,0,0,Rice
PASTURE_ALFALFA,Contra Costa & Alameda,ha,1282.2300509512424,1282.2300509512424,0,Alfalfa
RIPARIAN_FOREST_SALIX,Contra Costa & Alameda,ha,123.3000048995018,123.3000048995018,0,Riparian Forest
RIPARIAN_FOREST_MIXED,Contra Costa & Alameda,ha,71.55000284314156,71.55000284314156,0,Riparian Forest
RIPARIAN_SCRUB_INTRO,Contra Costa & Alameda,ha,343.98001366853714,343.98001366853714,0,Riparian Scrub
RIPARIAN_SCRUB_MIXED,Contra Costa & Alameda,ha,24.840000987052917,24.840000987052917,0,Riparian Scrub
WETLAND_MANAGED_PERENNIAL,Contra Costa & Alameda,ha,0,0,0,Managed Wetland - Perennial
WETLAND_TIDAL,Contra Costa & Alameda,ha,763.7400303483009,763.7400303483009,0,Tidal Wetland
WATER,Contra Costa & Alameda,ha,7042.230279833078,7042.230279833078,0,Water
BARREN,Contra Costa & Alameda,ha,17.01000067591667,17.01000067591667,0,Barren
ORCHARD_CITRUS&SUBTROPICAL,Sacramento,ha,8.010000318288803,8.010000318288803,0,Orchard - Citrus & Subtropical
RIPARIAN_SCRUB_INTRO,Sacramento,ha,219.24000871181488,219.24000871181488,0,Riparian Scrub
WETLAND_TIDAL,Sacramento,ha,1042.2000414133072,1042.2000414133072,0,Tidal Wetland
WATER,Sacramento,ha,5684.850225895643,5684.850225895643,0,Water
ORCHARD_CITRUS&SUBTROPICAL,San Joaquin,ha,577.7100229561329,577.7100229561329,0,Orchard - Citrus & Subtropical
RICE,San Joaquin,ha,1211.4000481367111,1211.4000481367111,0,Rice
RIPARIAN_SCRUB_INTRO,San Joaquin,ha,192.6000076532364,192.6000076532364,0,Riparian Scrub
RIPARIAN_SCRUB_MIXED,San Joaquin,ha,51.9300020635128,51.9300020635128,0,Riparian Scrub
WETLAND_MANAGED_PERENNIAL,San Joaquin,ha,2.9700001180171967,2.9700001180171967,0,Managed Wetland - Perennial
WETLAND_TIDAL,San Joaquin,ha,449.2800178527832,449.2800178527832,0,Tidal Wetland
WATER,San Joaquin,ha,7714.980306565762,7714.980306565762,0,Water
ORCHARD_DECIDUOUS,Solano,ha,1073.430042654276,1073.430042654276,0,Orchard - Deciduous Fruits & Nuts
ORCHARD_CITRUS&SUBTROPICAL,Solano,ha,18.990000754594803,18.990000754594803,0,Orchard - Citrus & Subtropical
VINEYARD,Solano,ha,706.590028077364,706.590028077364,0,Vineyard
RICE,Solano,ha,0,0,0,Rice
URBAN,Solano,ha,622.1700247228146,622.1700247228146,0,Urban
RIPARIAN_SCRUB_INTRO,Solano,ha,135.72000539302826,135.72000539302826,0,Riparian Scrub
RIPARIAN_SCRUB_MIXED,Solano,ha,1.5300000607967377,1.5300000607967377,0,Riparian Scrub
WETLAND_MANAGED_PERENNIAL,Solano,ha,33.48000133037567,33.48000133037567,0,Managed Wetland - Perennial
WETLAND_TIDAL,Solano,ha,687.5100273191929,687.5100273191929,0,Tidal Wetland
WATER,Solano,ha,4576.950181871653,4576.950181871653,0,Water
BARREN,Solano,ha,7.830000311136246,7.830000311136246,0,Barren
ORCHARD_CITRUS&SUBTROPICAL,Yolo,ha,33.210001319646835,33.210001319646835,0,Orchard - Citrus & Subtropical
URBAN,Yolo,ha,3263.310129672289,3263.310129672289,0,Urban
RIPARIAN_SCRUB_INTRO,Yolo,ha,25.200001001358032,25.200001001358032,0,Riparian Scrub
RIPARIAN_SCRUB_MIXED,Yolo,ha,5.130000203847885,5.130000203847885,0,Riparian Scrub
WETLAND_MANAGED_PERENNIAL,Yolo,ha,104.49000415205956,104.49000415205956,0,Managed Wetland - Perennial
WETLAND_TIDAL,Yolo,ha,616.1400244832039,616.1400244832039,0,Tidal Wetland
WATER,Yolo,ha,1752.1200696229935,1752.1200696229935,0,Water
BARREN,Yolo,ha,0,0,0,Barren
RIPARIAN_FOREST_QULO,Contra Costa & Alameda,ha,25.38000100851059,25.650001019239426,0.27000001072883606,Riparian Forest
RIPARIAN_SCRUB_SALIX,Contra Costa & Alameda,ha,389.88001549243927,390.42001551389694,0.5400000214576721,Riparian Scrub
RIPARIAN_FOREST_POFR,Contra Costa & Alameda,ha,178.2000070810318,179.0100071132183,0.8100000321865082,Riparian Forest
RIPARIAN_SCRUB_MIXED,Sacramento,ha,31.320001244544983,32.40000128746033,1.0800000429153442,Riparian Scrub
RIPARIAN_FOREST_SALIX,Yolo,ha,145.44000577926636,146.88000583648682,1.440000057220459,Riparian Forest
RIPARIAN_SCRUB_SALIX,Yolo,ha,141.9300056397915,147.51000586152077,5.580000221729279,Riparian Scrub
RIPARIAN_FOREST_POFR,Solano,ha,99.81000396609306,107.01000425219536,7.200000286102295,Riparian Forest
RIPARIAN_FOREST_SALIX,Solano,ha,84.24000334739685,91.6200036406517,7.380000293254852,Riparian Forest
RIPARIAN_FOREST_POFR,Yolo,ha,317.0700125992298,326.3400129675865,9.270000368356705,Riparian Forest
RIPARIAN_FOREST_QULO,Solano,ha,53.730002135038376,74.07000294327736,20.340000808238983,Riparian Forest
RIPARIAN_FOREST_MIXED,Yolo,ha,105.66000419855118,131.760005235672,26.10000103712082,Riparian Forest
WETLAND_MANAGED_SEASONAL,San Joaquin,ha,336.78001338243484,366.66001456975937,29.880001187324524,Managed Wetland - Seasonal
WETLAND_MANAGED_SEASONAL,Contra Costa & Alameda,ha,0,32.580001294612885,32.580001294612885,Managed Wetland - Seasonal
RIPARIAN_FOREST_SALIX,Sacramento,ha,227.88000905513763,261.8100104033947,33.930001348257065,Riparian Forest
RIPARIAN_FOREST_MIXED,San Joaquin,ha,125.46000498533249,161.10000640153885,35.64000141620636,Riparian Forest
RIPARIAN_SCRUB_SALIX,Solano,ha,214.29000851511955,256.05001017451286,41.76000165939331,Riparian Scrub
RIPARIAN_FOREST_MIXED,Solano,ha,103.8600041270256,159.30000633001328,55.44000220298767,Riparian Forest
RIPARIAN_FOREST_MIXED,Sacramento,ha,188.46000748872757,281.07001116871834,92.61000367999077,Riparian Forest
RIPARIAN_FOREST_POFR,Sacramento,ha,432.7200171947479,535.3200212717056,102.6000040769577,Riparian Forest
WETLAND_MANAGED_SEASONAL,Sacramento,ha,717.4800285100937,833.7600331306458,116.28000462055206,Managed Wetland - Seasonal
RIPARIAN_SCRUB_SALIX,Sacramento,ha,451.7100179493427,594.6300236284733,142.92000567913055,Riparian Scrub
WETLAND_MANAGED_SEASONAL,Solano,ha,790.7400314211845,938.7000373005867,147.96000587940216,Managed Wetland - Seasonal
RIPARIAN_FOREST_SALIX,San Joaquin,ha,391.1400155425072,542.0700215399265,150.93000599741936,Riparian Forest
RIPARIAN_FOREST_QULO,Sacramento,ha,853.2900339066982,1245.8700495064259,392.58001559972763,Riparian Forest
RIPARIAN_FOREST_POFR,San Joaquin,ha,686.3400272727013,1172.7000465989113,486.36001932621,Riparian Forest
RIPARIAN_SCRUB_SALIX,San Joaquin,ha,864.5400343537331,1387.0800551176071,522.540020763874,Riparian Scrub
RIPARIAN_FOREST_QULO,San Joaquin,ha,652.2300259172916,1461.6900580823421,809.4600321650505,Riparian Forest
RIPARIAN_FOREST_QULO,Yolo,ha,394.7400156855583,1437.0300571024418,1042.2900414168835,Riparian Forest
WETLAND_MANAGED_PERENNIAL,Sacramento,ha,798.6600317358971,1970.280078291893,1171.620046555996,Managed Wetland - Perennial
WETLAND_MANAGED_SEASONAL,Yolo,ha,3224.520128130913,5470.200217366219,2245.680089235306,Managed Wetland - Seasonal
