scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,SCORE_TOTAL,UNIT
baseline,Biodiversity Support,Riparian landbird distributions,Ash-throated Flycatcher,67401.49009829572,ha
baseline,Biodiversity Support,Riparian landbird distributions,Black-headed Grosbeak,68850.65638235942,ha
baseline,Biodiversity Support,Riparian landbird distributions,Common Yellowthroat,62247.37757565742,ha
baseline,Biodiversity Support,Riparian landbird distributions,Lazuli Bunting,28329.968297413474,ha
baseline,Biodiversity Support,Riparian landbird distributions,Nuttall's Woodpecker,30144.25352254735,ha
baseline,Biodiversity Support,Riparian landbird distributions,Song Sparrow,200948.40024927512,ha
baseline,Biodiversity Support,Riparian landbird distributions,Spotted Towhee,140355.16418339,ha
baseline,Biodiversity Support,Riparian landbird distributions,Yellow-breasted Chat,10096.291262106579,ha
baseline,Biodiversity Support,Riparian landbird distributions,Yellow Warbler,18984.518859468808,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Ash-throated Flycatcher,72022.23715483429,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Black-headed Grosbeak,74123.56869453617,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Common Yellowthroat,64908.61964245425,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Lazuli Bunting,29151.89712849777,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Nuttall's Woodpecker,33866.76073455744,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Song Sparrow,202405.47779367573,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Spotted Towhee,147594.51914917375,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Yellow-breasted Chat,9890.628265178148,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Yellow Warbler,19205.707094942685,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Ash-throated Flycatcher,65739.71987355141,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Black-headed Grosbeak,68054.29234267071,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Common Yellowthroat,59955.268429001626,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Lazuli Bunting,28076.788588740863,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Nuttall's Woodpecker,27980.91321647119,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Song Sparrow,200204.5973672295,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Spotted Towhee,154749.18274675342,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Yellow-breasted Chat,9191.179947713501,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Yellow Warbler,19040.16504526086,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Ash-throated Flycatcher,71581.4275495744,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Black-headed Grosbeak,74534.66648550823,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Common Yellowthroat,62734.60422486601,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Lazuli Bunting,28988.004751196913,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Nuttall's Woodpecker,32290.074796598357,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Song Sparrow,201946.7056718694,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Spotted Towhee,161736.78304409623,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Yellow-breasted Chat,8997.969231275842,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Yellow Warbler,19288.17782008214,ha
baseline,Biodiversity Support,Waterbird distributions,Herons/Egrets (fall),36401.731527407166,ha
baseline,Biodiversity Support,Waterbird distributions,Cranes (fall),8344.776017129847,ha
baseline,Biodiversity Support,Waterbird distributions,Dabbling Ducks (fall),10807.92071189574,ha
baseline,Biodiversity Support,Waterbird distributions,Geese (fall),7619.077254565372,ha
baseline,Biodiversity Support,Waterbird distributions,Shorebirds (fall),16255.005728074852,ha
scenario1_restoration,Biodiversity Support,Waterbird distributions,Herons/Egrets (fall),38064.42278907895,ha
scenario1_restoration,Biodiversity Support,Waterbird distributions,Cranes (fall),8574.609747025695,ha
scenario1_restoration,Biodiversity Support,Waterbird distributions,Dabbling Ducks (fall),14680.174216625941,ha
scenario1_restoration,Biodiversity Support,Waterbird distributions,Geese (fall),8095.283939407503,ha
scenario1_restoration,Biodiversity Support,Waterbird distributions,Shorebirds (fall),19547.111994546856,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird distributions,Herons/Egrets (fall),34242.63152585685,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird distributions,Cranes (fall),8549.122574143024,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird distributions,Dabbling Ducks (fall),9996.579212476852,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird distributions,Geese (fall),11635.948640625702,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird distributions,Shorebirds (fall),15713.603837724226,ha
scenario3_combo,Biodiversity Support,Waterbird distributions,Herons/Egrets (fall),36022.88731338501,ha
scenario3_combo,Biodiversity Support,Waterbird distributions,Cranes (fall),8765.995618520783,ha
scenario3_combo,Biodiversity Support,Waterbird distributions,Dabbling Ducks (fall),13926.044416299406,ha
scenario3_combo,Biodiversity Support,Waterbird distributions,Geese (fall),13025.89145519251,ha
scenario3_combo,Biodiversity Support,Waterbird distributions,Shorebirds (fall),19060.320989891003,ha
baseline_win,Biodiversity Support,Waterbird distributions,Herons/Egrets (winter),42380.775950735806,ha
baseline_win,Biodiversity Support,Waterbird distributions,Cranes (winter),24041.75232546419,ha
baseline_win,Biodiversity Support,Waterbird distributions,Dabbling Ducks (winter),32372.58120896964,ha
baseline_win,Biodiversity Support,Waterbird distributions,Diving Ducks (winter),10985.89323042806,ha
baseline_win,Biodiversity Support,Waterbird distributions,Geese (winter),39861.08927660825,ha
baseline_win,Biodiversity Support,Waterbird distributions,Shorebirds (winter),28260.956604096747,ha
scenario1_restoration_win,Biodiversity Support,Waterbird distributions,Herons/Egrets (winter),44381.777055928855,ha
scenario1_restoration_win,Biodiversity Support,Waterbird distributions,Cranes (winter),23559.487978703117,ha
scenario1_restoration_win,Biodiversity Support,Waterbird distributions,Dabbling Ducks (winter),35686.109704202354,ha
scenario1_restoration_win,Biodiversity Support,Waterbird distributions,Diving Ducks (winter),13329.691931195992,ha
scenario1_restoration_win,Biodiversity Support,Waterbird distributions,Geese (winter),40890.96452314355,ha
scenario1_restoration_win,Biodiversity Support,Waterbird distributions,Shorebirds (winter),30549.154294175394,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird distributions,Herons/Egrets (winter),40718.54609470121,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird distributions,Cranes (winter),21937.13400338765,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird distributions,Dabbling Ducks (winter),31248.061431858416,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird distributions,Diving Ducks (winter),10890.75217737819,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird distributions,Geese (winter),40558.11243142703,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird distributions,Shorebirds (winter),27049.940017746427,ha
scenario3_combo_win,Biodiversity Support,Waterbird distributions,Herons/Egrets (winter),42727.76719910592,ha
scenario3_combo_win,Biodiversity Support,Waterbird distributions,Cranes (winter),21496.14065302603,ha
scenario3_combo_win,Biodiversity Support,Waterbird distributions,Dabbling Ducks (winter),34501.5722608858,ha
scenario3_combo_win,Biodiversity Support,Waterbird distributions,Diving Ducks (winter),13174.454216193417,ha
scenario3_combo_win,Biodiversity Support,Waterbird distributions,Geese (winter),41396.66984637589,ha
scenario3_combo_win,Biodiversity Support,Waterbird distributions,Shorebirds (winter),29279.77094185214,ha
baseline,Biodiversity Support,Riparian landbird distributions,Total,223574.8489432834,ha
scenario1_restoration,Biodiversity Support,Riparian landbird distributions,Total,227817.6152472885,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird distributions,Total,225967.5649224682,ha
scenario3_combo,Biodiversity Support,Riparian landbird distributions,Total,230498.47098538198,ha
baseline,Biodiversity Support,Waterbird distributions,Total (fall),38211.76326618433,ha
scenario1_restoration,Biodiversity Support,Waterbird distributions,Total (fall),40408.89200482964,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird distributions,Total (fall),36325.75054565817,ha
scenario3_combo,Biodiversity Support,Waterbird distributions,Total (fall),38608.74253328204,ha
baseline_win,Biodiversity Support,Waterbird distributions,Total (winter),57763.47592089415,ha
scenario1_restoration_win,Biodiversity Support,Waterbird distributions,Total (winter),59904.65080961689,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird distributions,Total (winter),55154.38121670529,ha
scenario3_combo_win,Biodiversity Support,Waterbird distributions,Total (winter),57193.438467182365,ha
